,id,x_val,y_val,symbol,name
4862,26223,0.8693736805723671,0.8045059338759165,FBXL21,F-box and leucine rich repeat protein 21 (gene/pseudogene)
684,10616,0.4137209638725304,0.8060472227082092,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1
9207,54918,0.8372589501428,0.1736224330326238,CMTM6,CKLF like MARVEL transmembrane domain containing 6
13799,8345,0.7241223588765856,0.7886157588566775,HIST1H2BH,histone cluster 1 H2B family member h
11697,65009,0.6214455682901144,0.6137021458269913,NDRG4,NDRG family member 4
4108,23367,0.8988770115511021,0.6062232062826646,LARP1,La ribonucleoprotein domain family member 1
2815,1657,0.6757502039822046,0.673788055248209,DMXL1,Dmx like 1
12928,79070,0.7419774026066216,0.778337482542361,KDELC1,KDEL motif containing 1
3305,2035,0.8189112198720545,0.9134716338121955,EPB41,erythrocyte membrane protein band 4.1
7751,4719,0.8403449119585309,0.9449571036360774,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1
1629,124152,0.8903894333308893,0.5779729211560778,IQCK,IQ motif containing K
4794,26063,0.2752180522302306,0.6996419597744166,DECR2,"2,4-dienoyl-CoA reductase 2"
16036,9912,0.6549002944301258,0.6388280879623895,ARHGAP44,Rho GTPase activating protein 44
1526,1192,0.8286998192991398,0.9405707379582482,CLIC1,chloride intracellular channel 1
8576,51666,0.7589750868391845,0.8445052533496036,ASB4,ankyrin repeat and SOCS box containing 4
13843,83596,0.7384278669513193,0.7604344872058247,BCL2L12,BCL2 like 12
2953,1750,0.6506214147157823,0.8887462997132872,DLX6,distal-less homeobox 6
11169,6281,0.8718145968451891,0.3636717763933474,S100A10,S100 calcium binding protein A10
1917,132949,0.8533162425257087,0.7288608463337058,AASDH,aminoadipate-semialdehyde dehydrogenase
3861,23075,0.7533869592365827,0.852285780299567,SWAP70,SWAP switching B-cell complex subunit 70
4614,25833,0.8815982437972042,0.6463934690747098,POU2F3,POU class 2 homeobox 3
871,10890,0.5042131733395899,0.41070370236915144,RAB10,"RAB10, member RAS oncogene family"
12729,758,0.7117563248794712,0.7762559649611132,MPPED1,metallophosphoesterase domain containing 1
8152,51074,0.841845809630464,0.2586652189744238,APIP,APAF1 interacting protein
8243,5118,0.804240628357801,0.8929631504119204,PCOLCE,procollagen C-endopeptidase enhancer
7131,400322,0.8114956015505039,0.8895816727879523,HERC2P2,hect domain and RLD 2 pseudogene 2
424,10309,0.7124710198395258,0.7557644691075026,CCNO,cyclin O
4843,26164,0.8494214727302856,0.6581454039501311,MTG2,mitochondrial ribosome associated GTPase 2
10308,57113,0.7872139099541761,0.8361291969562658,TRPC7,transient receptor potential cation channel subfamily C member 7
10216,56948,0.6304645628104033,0.6285317382654844,SDR39U1,short chain dehydrogenase/reductase family 39U member 1
5951,3040,0.7367186431362983,0.8520114919293403,HBA2,hemoglobin subunit alpha 2
4279,23604,0.06632226744719909,0.6878136501336289,DAPK2,death associated protein kinase 2
13327,8000,0.7398760667595851,0.7907187694367831,PSCA,prostate stem cell antigen
14610,86,0.8758093762495592,0.9677440264080334,ACTL6A,actin like 6A
1618,123722,0.7088742298718266,0.7698463902472071,FSD2,fibronectin type III and SPRY domain containing 2
6500,3512,0.7198706529878252,0.7375040107554915,JCHAIN,joining chain of multimeric IgA and IgM
4968,26578,0.43158985439274195,0.2773834139493194,OSTF1,osteoclast stimulating factor 1
2267,146206,0.671696275693205,0.6644587855186702,CARMIL2,capping protein regulator and myosin 1 linker 2
897,10921,0.8823476280200753,0.6231250591220928,RNPS1,RNA binding protein with serine rich domain 1
15812,9669,0.8503931325763644,0.9342118423845958,EIF5B,eukaryotic translation initiation factor 5B
13620,81572,0.7483643104549664,0.8091193060247687,PDRG1,p53 and DNA damage regulated 1
3517,221035,0.875428205706969,0.6833537630539768,REEP3,receptor accessory protein 3
5210,27297,0.7581143030061134,0.7858450477186981,CRCP,CGRP receptor component
5328,2821,0.8148948084646543,0.9346861742419644,GPI,glucose-6-phosphate isomerase
618,10541,0.5854563775766793,0.5288235369855331,ANP32B,acidic nuclear phosphoprotein 32 family member B
360,10240,0.7905074080952614,0.8999520700766668,MRPS31,mitochondrial ribosomal protein S31
5049,26958,0.909690623803903,0.5467917640034871,COPG2,coatomer protein complex subunit gamma 2
4402,2515,0.5315755575710484,0.8352490895148088,ADAM2,ADAM metallopeptidase domain 2
8508,51561,0.5978699381598547,0.5436242934364869,IL23A,interleukin 23 subunit alpha
3095,1947,0.779209192994712,0.8204922053008509,EFNB1,ephrin B1
140,100462977,0.7211315391917645,0.7886312129314497,MTRNR2L1,MT-RNR2-like 1
8577,51667,0.7815379820803935,0.8505378796260923,NUB1,negative regulator of ubiquitin like proteins 1
4481,255027,0.31484059230484523,0.07008585876933716,MPV17L,MPV17 mitochondrial inner membrane protein like
7182,401541,0.6565621113471044,0.6685349728537409,CENPP,centromere protein P
5454,284361,0.7185671915570947,0.7072948847221299,EMC10,ER membrane protein complex subunit 10
11057,6135,0.5259342032011186,0.8875972863982606,RPL11,ribosomal protein L11
2938,1736,0.8539127026425118,0.9292088000030246,DKC1,dyskerin pseudouridine synthase 1
1313,114786,0.7737926105603345,0.8487474197292539,XKR4,XK related 4
13158,79738,0.723531231114913,0.7429503400495872,BBS10,Bardet-Biedl syndrome 10
5617,288,0.7595638425234322,0.8252508657241244,ANK3,ankyrin 3
3951,23179,0.027871707677168213,0.680014272345909,RGL1,ral guanine nucleotide dissociation stimulator like 1
4959,26528,0.9037917712907139,0.5439659818940541,DAZAP1,DAZ associated protein 1
9182,54887,0.7415139329022272,0.7664262018515509,UHRF1BP1,UHRF1 binding protein 1
11914,6631,0.8170446842735909,0.9178307535924944,SNRPC,small nuclear ribonucleoprotein polypeptide C
12113,6850,0.4310359648431328,0.7856054572284217,SYK,spleen associated tyrosine kinase
8396,51380,0.7462887658055655,0.7765603921859254,CSAD,cysteine sulfinic acid decarboxylase
15552,93986,0.7246694222512922,0.7882661042982936,FOXP2,forkhead box P2
2147,1411,0.5139053439543199,0.8028240303525722,CRYBA1,crystallin beta A1
2374,148534,0.9795777734719155,0.009630265457817592,TMEM56,transmembrane protein 56
2169,1429,0.7252858709208366,0.7467816395117652,CRYZ,crystallin zeta
7951,4968,0.6700825586602455,0.6883364906988041,OGG1,8-oxoguanine DNA glycosylase
13515,8074,0.3800004748860301,0.7261316282553295,FGF23,fibroblast growth factor 23
11186,6302,0.984541588064741,0.0036010132034497294,TSPAN31,tetraspanin 31
15706,9545,0.10119639669551075,0.5833627771822072,RAB3D,"RAB3D, member RAS oncogene family"
4773,26040,0.18826108662017052,0.6314782669653746,SETBP1,SET binding protein 1
2850,1675,0.43409210558617056,0.8256093105592479,CFD,complement factor D
1881,131474,0.7302011259338969,0.8023915399073208,CHCHD4,coiled-coil-helix-coiled-coil-helix domain containing 4
1032,11098,0.4083130640433523,0.24495572125979645,PRSS23,"protease, serine 23"
3342,2058,0.8434394719102872,0.9329691736652844,EPRS,glutamyl-prolyl-tRNA synthetase
13749,830,0.8864924822279642,0.5594203064966756,CAPZA2,capping actin protein of muscle Z-line alpha subunit 2
108,100287045,0.3037548724450536,0.7017001749463518,FAM90A26,family with sequence similarity 90 member A26
9592,55359,0.6506214147157823,0.8887462997132872,STYK1,serine/threonine/tyrosine kinase 1
8492,51538,0.25011902111331624,0.6526523487437268,ZCCHC17,zinc finger CCHC-type containing 17
4459,254251,0.8886690741939973,0.6230025663984724,LCORL,ligand dependent nuclear receptor corepressor like
2214,144321,0.6832211208894426,0.6812602224785542,GLIPR1L2,GLI pathogenesis related 1 like 2
8060,50810,0.8580383793505202,0.7137722366294967,HDGFL3,HDGF like 3
10924,5985,0.8436344935396688,0.9652950033460318,RFC5,replication factor C subunit 5
7027,3909,0.708255606376889,0.7082200821666401,LAMA3,laminin subunit alpha 3
11488,64425,0.7447026291498292,0.8091902343461963,POLR1E,RNA polymerase I subunit E
923,10953,0.7981509731027494,0.9027734622172515,TOMM34,translocase of outer mitochondrial membrane 34
8582,51676,0.8096011330335987,0.9137073813659309,ASB2,ankyrin repeat and SOCS box containing 2
12251,7026,0.7414549933772713,0.7164607379315865,NR2F2,nuclear receptor subfamily 2 group F member 2
2128,140807,0.8258703032486034,0.9041069048345558,KRT72,keratin 72
13312,79974,0.0011214445976001253,0.676222221055853,CPED1,cadherin like and PC-esterase domain containing 1
11570,64718,0.8706463577896253,0.6881266239930728,UNKL,unkempt family like zinc finger
16023,990,0.7793096985568678,0.8786498199013657,CDC6,cell division cycle 6
7866,4860,0.825537444911826,0.9126520147933602,PNP,purine nucleoside phosphorylase
14314,84708,0.4508452582384599,0.8011780940375387,LNX1,ligand of numb-protein X 1
8827,5371,0.8337571427541497,0.9101447189436362,PML,promyelocytic leukemia
4550,257160,0.7856818353799446,0.8922241471178158,RNF214,ring finger protein 214
742,1069,0.7723389903029115,0.8114192927594442,CETN2,centrin 2
14007,84100,0.6035221314006973,0.5786123719225791,ARL6,ADP ribosylation factor like GTPase 6
6260,3386,0.7956668181208808,0.9110718210666311,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
5312,2803,0.21733207444800184,0.6638886944887039,GOLGA4,golgin A4
7066,3936,0.7623130450354249,0.8415693440810504,LCP1,lymphocyte cytosolic protein 1
6556,3574,0.0069031494294220395,0.6773382801110513,IL7,interleukin 7
11882,6602,0.841723480526713,0.9303577536590149,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"
2270,146225,0.0011214445976001253,0.676222221055853,CMTM2,CKLF like MARVEL transmembrane domain containing 2
9568,5533,0.22469761791926984,0.6507027364949848,PPP3CC,protein phosphatase 3 catalytic subunit gamma
6456,348094,0.8824338219262173,0.5812402569822622,ANKDD1A,ankyrin repeat and death domain containing 1A
6226,3362,0.7543894584089027,0.8006677190565498,HTR6,5-hydroxytryptamine receptor 6
13587,8148,0.8350266876394468,0.9379956021030069,TAF15,TATA-box binding protein associated factor 15
2718,161753,0.4054502426060436,0.782209557638974,ODF3L1,outer dense fiber of sperm tails 3 like 1
13837,8359,0.8237560480088928,0.9468769566523871,HIST1H4A,histone cluster 1 H4 family member a
3486,220004,0.12227742792952084,0.5911453181647738,PPP1R32,protein phosphatase 1 regulatory subunit 32
10374,57211,0.8157829636410936,0.9327788904069938,ADGRG6,adhesion G protein-coupled receptor G6
7160,401068,0.0011214445976001253,0.676222221055853,,
3728,2290,0.8037919478881733,0.8403481385561633,FOXG1,forkhead box G1
11394,64220,0.9088020698936976,0.8946815961841724,STRA6,stimulated by retinoic acid 6
3544,221421,0.6975196352902204,0.7226109318961625,RSPH9,radial spoke head 9 homolog
12829,7802,0.13342916973427596,0.5911523941076288,DNALI1,dynein axonemal light intermediate chain 1
8585,51684,0.6794804952195134,0.6913382366981488,SUFU,SUFU negative regulator of hedgehog signaling
13176,79768,0.8311778028281012,0.06985456301962512,KATNBL1,katanin regulatory subunit B1 like 1
14881,8913,0.579512068944432,0.8704882929637551,CACNA1G,calcium voltage-gated channel subunit alpha1 G
14449,84967,0.8412213265065289,0.900353216362003,LSM10,"LSM10, U7 small nuclear RNA associated"
6657,3690,0.7320103425986799,0.7764036812667936,ITGB3,integrin subunit beta 3
10520,57551,0.7880576934142778,0.886039118000405,TAOK1,TAO kinase 1
5386,283537,0.4449134897432887,0.7935837403229916,SLC46A3,solute carrier family 46 member 3
15846,9701,0.42519221985959044,0.8109442466947794,PPP6R2,protein phosphatase 6 regulatory subunit 2
13870,8367,0.8214406798305462,0.9416449205216015,HIST1H4E,histone cluster 1 H4 family member e
3055,1880,0.6756374771166349,0.6712278706281736,GPR183,G protein-coupled receptor 183
6696,373509,0.7512149033591329,0.8200265294342576,USP50,ubiquitin specific peptidase 50
4964,26574,0.8154665595260687,0.883404976956173,AATF,apoptosis antagonizing transcription factor
5219,27309,0.8601368048755001,0.7200356023402943,ZNF330,zinc finger protein 330
15004,9025,0.7839200497334786,0.8654658548324408,RNF8,ring finger protein 8
5732,29116,0.7080200907634554,0.7383991523016429,MYLIP,myosin regulatory light chain interacting protein
8369,51340,0.8299258502308916,0.9198858757206846,CRNKL1,crooked neck pre-mRNA splicing factor 1
841,10847,0.7709217344822084,0.8326008313507037,SRCAP,Snf2 related CREBBP activator protein
6895,387332,0.6820136718232501,0.6812573540680984,TBPL2,TATA-box binding protein like 2
1625,124,0.5764301474690753,0.8703442053492676,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
13263,79890,0.7516215459717523,0.7845508457255853,RIN3,Ras and Rab interactor 3
14169,84337,0.687276936321546,0.7299793320755996,ELOF1,elongation factor 1 homolog
66,100132057,0.5739452131782917,0.5392753573776148,,
10613,57674,0.7721190560082006,0.8911208403570833,RNF213,ring finger protein 213
5678,2901,0.8659898219303371,0.5032057698277532,GRIK5,glutamate ionotropic receptor kainate type subunit 5
12428,726,0.8334809136856511,0.9510502703467593,CAPN5,calpain 5
9728,55646,0.8158361506666433,0.9185621969993796,LYAR,Ly1 antibody reactive
2541,1534,0.7995335484480008,0.8556652962795053,CYB561,cytochrome b561
45,10013,0.8677095610391032,0.7181170374288494,HDAC6,histone deacetylase 6
557,10472,0.8391756505304909,0.08450719703575264,ZBTB18,zinc finger and BTB domain containing 18
13972,8404,0.6579978703117069,0.8631405720844767,SPARCL1,SPARC like 1
14607,8581,0.3854152423438421,0.7291904248049678,LY6D,lymphocyte antigen 6 family member D
8292,51251,0.854502384104337,0.7617437418518715,NT5C3A,"5'-nucleotidase, cytosolic IIIA"
12466,728239,0.8467293946005143,0.9378920902769946,MAGED4,MAGE family member D4
7485,4354,0.7604341810288018,0.8205135858350556,MPP1,membrane palmitoylated protein 1
2303,146956,0.2763540029062737,0.6938015423518459,EME1,essential meiotic structure-specific endonuclease 1
15223,91543,0.44107815858418775,0.7641101341742458,RSAD2,radical S-adenosyl methionine domain containing 2
5878,29957,0.7422359783437712,0.802215438933864,SLC25A24,solute carrier family 25 member 24
2613,157680,0.636818412752479,0.6262287301086915,VPS13B,vacuolar protein sorting 13 homolog B
5243,27347,0.732908584082352,0.8179680853130779,STK39,serine/threonine kinase 39
14839,8870,0.17253531032447625,0.7404923467615224,IER3,immediate early response 3
13413,80210,0.12119341314805367,0.5989889187817238,ARMC9,armadillo repeat containing 9
12818,778,0.703224121901661,0.7427630277958915,CACNA1F,calcium voltage-gated channel subunit alpha1 F
7396,4222,0.3049759009001652,0.7183366497501897,MEOX1,mesenchyme homeobox 1
7678,4637,0.8148625375368999,0.905202227191629,MYL6,myosin light chain 6
370,10250,0.9034896756218808,0.6275112526581391,SRRM1,serine and arginine repetitive matrix 1
2676,160140,0.865112977576626,0.7173661273021108,C11orf65,chromosome 11 open reading frame 65
14202,84456,0.7504280128187701,0.7881368949669733,L3MBTL3,"L3MBTL3, histone methyl-lysine binding protein"
2254,145773,0.6574712194929685,0.9261055559783283,FAM81A,family with sequence similarity 81 member A
12042,6776,0.7992992455685912,0.8745018474047723,STAT5A,signal transducer and activator of transcription 5A
1646,124626,0.8704768938145243,0.5656203625619243,ZPBP2,zona pellucida binding protein 2
5117,27101,0.8325696682776718,0.9323488834156763,CACYBP,calcyclin binding protein
4859,26207,0.7464219444437878,0.8161240814104993,PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1"
13014,79369,0.6682538541451413,0.7017110337786526,B3GNT4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"
2809,165324,0.731053353756734,0.7763971009190087,UBXN2A,UBX domain protein 2A
5871,2995,0.5100603117422554,0.8489944454080498,GYPC,glycophorin C (Gerbich blood group)
148,100505621,0.6225803346266382,0.5756287347320029,C11orf72,chromosome 11 open reading frame 72
9285,5500,0.9037700997166219,0.6544288963351031,PPP1CB,protein phosphatase 1 catalytic subunit beta
786,10761,0.7230463140348792,0.7708695466692473,PLAC1,placenta specific 1
803,10783,0.746606321291559,0.834087752113603,NEK6,NIMA related kinase 6
13539,80816,0.7804294187598058,0.9297493615581296,ASXL3,"additional sex combs like 3, transcriptional regulator"
4121,23384,0.7973681904316151,0.8636136733961819,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like
10842,5909,0.7602567834843909,0.781418767275338,RAP1GAP,RAP1 GTPase activating protein
9444,55194,0.8047449603392361,0.9116855017496761,EVA1B,eva-1 homolog B
10069,5634,0.8458403041067918,0.30277912428743853,PRPS2,phosphoribosyl pyrophosphate synthetase 2
517,1043,0.823693635303084,0.9171349953797958,CD52,CD52 molecule
5445,284273,0.3513868119949651,0.14474850528380323,ZADH2,zinc binding alcohol dehydrogenase domain containing 2
14223,84519,0.7924790121551417,0.8833722895037257,ACRBP,acrosin binding protein
6353,3419,0.7952700778433345,0.8656348585165207,IDH3A,isocitrate dehydrogenase 3 (NAD(+)) alpha
15220,91522,0.8137500301540576,0.9081074628897348,COL23A1,collagen type XXIII alpha 1 chain
7376,4194,0.4336642996642646,0.8145538465306675,MDM4,"MDM4, p53 regulator"
6066,317,0.8468233667147081,0.31041340424049707,APAF1,apoptotic peptidase activating factor 1
4664,2591,0.4428462884507748,0.8132013197204082,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3
8368,5134,0.7263897037925633,0.775131982536763,PDCD2,programmed cell death 2
10083,56475,0.8579891065632661,0.21730397144926597,RPRM,"reprimo, TP53 dependent G2 arrest mediator homolog"
14331,84765,0.8832670566242563,0.5908694595430056,ZNF577,zinc finger protein 577
979,11026,0.8725385409800155,0.7381111551931504,LILRA3,leukocyte immunoglobulin like receptor A3
8885,54149,0.8518561354996222,0.7210368952137621,C21orf91,chromosome 21 open reading frame 91
6162,3273,0.714566444332453,0.7725522617751922,HRG,histidine rich glycoprotein
15021,90355,0.840722339177522,0.2301956202722965,C5orf30,chromosome 5 open reading frame 30
4960,2653,0.6769450422168677,0.7253466546611964,GCSH,glycine cleavage system protein H
6583,360165,0.7270109776402217,0.7950797073120187,NDUFA4P1,"NDUFA4, mitochondrial complex associated pseudogene 1"
536,10451,0.7466897999181433,0.8158093927713674,VAV3,vav guanine nucleotide exchange factor 3
15998,9873,0.839568861443134,0.3114604446953428,FCHSD2,FCH and double SH3 domains 2
854,10868,0.7590987820641073,0.8274101501135196,,
5930,3013,0.7666600229885132,0.8558040747518103,HIST1H2AD,histone cluster 1 H2A family member d
4154,23424,0.6209462303982928,0.8618248765079268,TDRD7,tudor domain containing 7
6662,3695,0.8765869759292976,0.8073691472900778,ITGB7,integrin subunit beta 7
15191,91368,0.6819282482111565,0.6898935834414149,CDKN2AIPNL,CDKN2A interacting protein N-terminal like
398,10280,0.8768962379409379,0.780403525139929,SIGMAR1,sigma non-opioid intracellular receptor 1
3521,221078,0.9692925959053871,0.031914538274144824,NSUN6,NOP2/Sun RNA methyltransferase family member 6
2805,165100,0.0004354019148395698,0.6761478259981007,TEX44,testis expressed 44
75,100132979,0.8160060805942801,0.889342553370365,GOLGA8DP,"golgin A8 family member D, pseudogene"
13222,79836,0.608514757486905,0.8634997079106089,LONRF3,LON peptidase N-terminal domain and ring finger 3
2923,171586,0.7734232452593308,0.8111745325756372,ABHD3,abhydrolase domain containing 3
9406,55151,0.9863381680636908,0.050646627653862165,TMEM38B,transmembrane protein 38B
4355,24139,0.9597962193363163,0.18052360405843218,EML2,echinoderm microtubule associated protein like 2
13809,83473,0.5981106589594215,0.8942594952314604,KATNAL2,katanin catalytic subunit A1 like 2
1175,11260,0.8287005138959462,0.9429577898032196,XPOT,exportin for tRNA
2323,147525,0.8225113567469298,0.7187550441011947,LINC00526,long intergenic non-protein coding RNA 526
12274,7051,0.8127595413365372,0.9008682684482531,TGM1,transglutaminase 1
10952,6016,0.6844760261065749,0.7600747462381144,RIT1,Ras like without CAAX 1
7520,440563,0.6910619603646184,0.729813067795598,HNRNPCL2,heterogeneous nuclear ribonucleoprotein C-like 2
5587,286343,0.1290403761912279,0.5949868207527592,LURAP1L,leucine rich adaptor protein 1 like
4531,256380,0.9129068064499215,0.6438059017534775,SCML4,sex comb on midleg like 4 (Drosophila)
5955,3047,0.26602462717556513,0.7124622127686822,HBG1,hemoglobin subunit gamma 1
11351,64112,0.6820461305692248,0.8444260267065209,MOAP1,modulator of apoptosis 1
8460,51496,0.842000151275974,0.15517546310446861,CTDSPL2,CTD small phosphatase like 2
9818,5575,0.780075842580448,0.8461944955082539,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta
5686,29057,0.8242641439788924,0.9333407723679621,FAM156A,family with sequence similarity 156 member A
2040,1387,0.8832520345281267,0.6043002939315015,CREBBP,CREB binding protein
10940,6000,0.7036838786869006,0.7561634157283534,RGS7,regulator of G protein signaling 7
5423,284058,0.7453991376980815,0.8134816191394887,KANSL1,KAT8 regulatory NSL complex subunit 1
10672,57801,0.6580643204988318,0.6965635371131368,HES4,hes family bHLH transcription factor 4
4777,260434,0.8427054010853811,0.9289968828058026,PYDC1,pyrin domain containing 1
13709,8209,0.13229143337487495,0.6136617535087681,C21orf33,chromosome 21 open reading frame 33
12970,79152,0.8176516053646401,0.8818232959754334,FA2H,fatty acid 2-hydroxylase
5722,29105,0.7630973593864476,0.7728267679007134,CFAP20,cilia and flagella associated protein 20
6785,3768,0.6520232215802673,0.6594668219411842,KCNJ12,potassium voltage-gated channel subfamily J member 12
1619,1238,0.04852590779513834,0.5538360884209248,ACKR2,atypical chemokine receptor 2
8527,51596,0.728830887339527,0.7469642189627966,CUTA,cutA divalent cation tolerance homolog
1870,131076,0.8402584472661833,0.23631251276800824,CCDC58,coiled-coil domain containing 58
976,11021,0.32826594028395956,0.7474408071878339,RAB35,"RAB35, member RAS oncogene family"
5113,27095,0.24941522882568049,0.6948768431738148,TRAPPC3,trafficking protein particle complex 3
10072,56344,0.8619005449231945,0.692161803795762,CABP5,calcium binding protein 5
2428,150290,0.3811018838236371,0.7691741361044832,DUSP18,dual specificity phosphatase 18
13602,81545,0.30173823635094604,0.805153762795726,FBXO38,F-box protein 38
10040,56243,0.7350507496130839,0.7840920006446058,KIAA1217,KIAA1217
2412,149951,0.8283920385310796,0.756242619544104,COMMD7,COMM domain containing 7
7147,400798,0.9000118238757719,0.6135711688634355,C1orf220,chromosome 1 open reading frame 220
12609,7398,0.8035706439084094,0.8717964351692981,USP1,ubiquitin specific peptidase 1
1824,129642,0.8828184657182022,0.5021654247123231,MBOAT2,membrane bound O-acyltransferase domain containing 2
6894,387316,0.8482439802098168,0.43744857663884157,VN1R10P,vomeronasal 1 receptor 10 pseudogene
4987,2667,0.6477965803975032,0.6535916294651556,GDI2P1,GDP dissociation inhibitor 2 pseudogene 1
8215,51141,0.7562149237619954,0.8313246933018877,INSIG2,insulin induced gene 2
4543,2569,0.6848501452796788,0.6977224255590203,GABRR1,gamma-aminobutyric acid type A receptor rho1 subunit
2470,151295,0.49282137867779646,0.8552328494020836,SLC23A3,solute carrier family 23 member 3
6361,342346,0.8423585427473305,0.9150284033812893,C16orf96,chromosome 16 open reading frame 96
13808,8347,0.775845264001606,0.882170196168342,HIST1H2BC,histone cluster 1 H2B family member c
9835,55768,0.3119538240614578,0.7494914526889599,NGLY1,N-glycanase 1
5614,2879,0.7223146739021844,0.7843289623572208,GPX4,glutathione peroxidase 4
10203,56934,0.6904805718452143,0.7371512017353855,CA10,carbonic anhydrase 10
5870,29948,0.7196743402738309,0.7713553028280781,OSGIN1,oxidative stress induced growth inhibitor 1
11823,6558,0.8003817729572824,0.8604394574678005,SLC12A2,solute carrier family 12 member 2
16009,9885,0.8518163503445242,0.14108946831596908,OSBPL2,oxysterol binding protein like 2
14069,84221,0.6834568072008576,0.7093156690537886,SPATC1L,spermatogenesis and centriole associated 1 like
11563,647000,0.8215852592232965,0.8920118277744784,TUBBP2,tubulin beta pseudogene 2
9585,55349,0.6437030791510462,0.8882025770500227,CHDH,choline dehydrogenase
3746,22921,0.8436636220380707,0.12270497532774055,MSRB2,methionine sulfoxide reductase B2
10639,57705,0.7270109776402217,0.7950797073120187,WDFY4,WDFY family member 4
